Transaction_ID,Transaction_Amount,Transaction_Type,Account_Balance,Device_Type,Location,Merchant_Category,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label,hour,day_of_week
TXN_6188,55.5,ATM Withdrawal,89664.63,Laptop,London,Groceries,0,6,483.58,4,Discover,192,3721.54,OTP,0.5837,0,1,3,Thursday
TXN_1414,54.09,Bank Transfer,51287.15,Mobile,Sydney,Electronics,0,11,152.63,2,Amex,91,1061.27,PIN,0.1454,0,0,20,Friday
TXN_18471,9.66,Online,12420.17,Tablet,New York,Electronics,0,6,173.97,0,Mastercard,5,762.21,OTP,0.0793,1,0,17,Tuesday
TXN_29282,64.78,POS,23487.76,Laptop,Mumbai,Restaurants,0,1,17.85,2,Amex,3,3378.44,Password,0.2245,0,0,9,Monday
TXN_15177,37.11,POS,92977.91,Tablet,Sydney,Electronics,0,12,457.42,3,Visa,135,395.36,Biometric,0.1136,1,0,8,Thursday
TXN_34304,1.58,Bank Transfer,63076.36,Laptop,New York,Clothing,0,13,309.49,1,Amex,47,2074.77,Biometric,0.3433,0,0,9,Saturday
TXN_12609,178.56,POS,62359.52,Tablet,Tokyo,Groceries,0,4,491.21,4,Visa,29,2159.31,Password,0.444,1,1,10,Wednesday
TXN_12144,19.37,Bank Transfer,34416.01,Tablet,London,Travel,0,9,163.5,3,Discover,129,4436.61,PIN,0.2924,0,0,4,Saturday
TXN_6113,22.02,ATM Withdrawal,55851.38,Mobile,Sydney,Electronics,0,13,179.73,3,Visa,204,633.99,PIN,0.1305,1,0,4,Thursday
TXN_15908,203.97,ATM Withdrawal,73616.91,Mobile,New York,Restaurants,0,4,482.2,4,Mastercard,173,4723.22,Password,0.8633,1,1,23,Sunday
TXN_821,55.35,POS,88292.27,Tablet,Sydney,Electronics,0,12,283.43,0,Visa,80,625.67,PIN,0.7883,1,0,16,Thursday
TXN_15118,17.17,ATM Withdrawal,71983.33,Mobile,Sydney,Electronics,0,2,36.46,2,Mastercard,165,3402.37,PIN,0.0233,0,0,7,Saturday
TXN_13466,72.33,ATM Withdrawal,29954.64,Mobile,Sydney,Clothing,0,3,233.6,4,Discover,120,3956.54,Password,0.408,1,1,21,Monday
TXN_26497,188.75,Online,58078.66,Mobile,Sydney,Travel,1,4,495.1,0,Amex,85,3935.53,Password,0.1379,0,0,7,Sunday
TXN_42111,2.61,Bank Transfer,51803.62,Tablet,Tokyo,Groceries,0,1,382.67,2,Visa,86,4963.49,Biometric,0.5355,0,0,0,Wednesday
TXN_30188,195.76,Online,85000.68,Tablet,Mumbai,Travel,1,14,226.9,1,Mastercard,65,4045.87,PIN,0.2553,1,0,19,Tuesday
TXN_37237,8.06,ATM Withdrawal,38155.13,Laptop,Sydney,Travel,0,9,298.73,4,Mastercard,232,1819.59,Password,0.4784,0,1,22,Sunday
TXN_33109,73.34,Bank Transfer,72060.59,Laptop,London,Clothing,0,9,434.91,2,Visa,92,4779.55,Biometric,0.4097,0,0,13,Thursday
TXN_36480,9.82,Bank Transfer,39996.92,Mobile,Sydney,Electronics,0,13,42.42,2,Discover,152,2772.48,Password,0.9658,0,1,14,Wednesday
TXN_24148,197.21,Online,32472.3,Laptop,Sydney,Electronics,0,14,268.08,0,Visa,225,1947.0,PIN,0.8843,0,1,17,Saturday
TXN_5503,56.45,ATM Withdrawal,1525.05,Mobile,Mumbai,Restaurants,0,8,277.53,3,Amex,103,1031.7,Password,0.6745,0,0,0,Tuesday
TXN_3918,0.32,Online,39236.78,Mobile,Sydney,Electronics,0,11,66.4,1,Amex,38,1548.07,OTP,0.5475,1,0,2,Saturday
TXN_38478,63.83,POS,75526.24,Laptop,Sydney,Restaurants,0,14,69.19,1,Visa,45,3878.08,Biometric,0.6558,0,0,20,Monday
TXN_21123,147.71,POS,40660.04,Laptop,Sydney,Restaurants,0,5,191.11,2,Mastercard,20,3055.68,OTP,0.1327,0,0,16,Tuesday
TXN_49717,127.57,ATM Withdrawal,43073.71,Laptop,London,Travel,0,7,139.86,0,Visa,228,3424.04,OTP,0.7918,1,0,10,Wednesday
TXN_42294,15.24,POS,61396.94,Tablet,Mumbai,Travel,0,9,198.16,2,Amex,195,840.45,PIN,0.5575,0,0,8,Thursday
TXN_47609,80.4,POS,60394.4,Laptop,New York,Travel,0,10,292.42,4,Mastercard,95,4530.61,Biometric,0.8746,0,1,6,Wednesday
TXN_11076,3.13,POS,34717.05,Tablet,Mumbai,Restaurants,0,8,266.86,2,Amex,87,2351.65,Biometric,0.4547,0,0,6,Thursday
TXN_41514,9.53,Online,60125.25,Mobile,Tokyo,Groceries,0,10,389.23,0,Amex,206,3951.42,PIN,0.3199,1,0,15,Friday
TXN_22062,24.73,Bank Transfer,26301.84,Tablet,New York,Clothing,1,2,181.3,2,Amex,162,1199.1,Biometric,0.8063,1,0,0,Saturday
TXN_9413,138.21,POS,38278.34,Tablet,New York,Electronics,0,2,424.38,1,Mastercard,158,4183.86,PIN,0.703,0,0,9,Sunday
TXN_38340,39.63,Bank Transfer,8549.08,Mobile,Tokyo,Travel,0,13,329.74,4,Visa,17,4940.9,Password,0.5676,0,1,12,Tuesday
TXN_30263,11.77,ATM Withdrawal,42891.23,Mobile,London,Groceries,1,5,434.42,4,Discover,106,1296.27,Biometric,0.7972,1,1,20,Friday
TXN_41252,129.22,Bank Transfer,19305.37,Mobile,London,Clothing,0,13,368.53,3,Discover,44,665.43,PIN,0.7823,0,0,18,Thursday
TXN_14644,13.36,Bank Transfer,12122.23,Tablet,New York,Groceries,0,6,363.3,0,Visa,159,142.32,PIN,0.8096,0,0,16,Thursday
TXN_26335,272.93,POS,34981.69,Mobile,London,Groceries,0,4,128.02,3,Mastercard,121,4510.4,Biometric,0.3406,0,0,2,Friday
TXN_28102,23.69,POS,24626.76,Mobile,Tokyo,Restaurants,0,13,23.77,2,Amex,25,2506.35,Biometric,0.6866,0,0,3,Thursday
TXN_17523,70.81,ATM Withdrawal,99005.13,Tablet,Mumbai,Electronics,0,3,362.81,3,Visa,211,3089.62,Biometric,0.5454,1,0,19,Sunday
TXN_24712,22.63,Bank Transfer,85873.02,Mobile,New York,Groceries,0,3,282.11,3,Discover,163,817.02,OTP,0.3183,1,0,4,Sunday
TXN_40485,92.27,ATM Withdrawal,69161.25,Mobile,Mumbai,Travel,0,14,296.52,4,Mastercard,185,4627.43,Password,0.9537,0,1,5,Thursday
TXN_3850,112.72,ATM Withdrawal,85678.68,Tablet,London,Clothing,0,5,403.13,3,Discover,64,229.77,Biometric,0.1398,0,0,10,Friday
TXN_40040,213.77,ATM Withdrawal,44775.66,Mobile,Mumbai,Clothing,0,11,449.66,2,Amex,179,3352.98,Password,0.1848,1,0,12,Tuesday
TXN_15267,3.06,Bank Transfer,75650.51,Laptop,Sydney,Electronics,0,3,391.4,0,Discover,62,1855.93,OTP,0.0077,0,0,18,Tuesday
TXN_49146,308.73,Bank Transfer,841.65,Mobile,Mumbai,Clothing,0,9,184.97,3,Amex,51,4722.91,Biometric,0.6362,0,0,22,Tuesday
TXN_30001,18.98,Online,96821.71,Tablet,Sydney,Clothing,0,5,286.61,1,Discover,202,1607.61,OTP,0.9372,0,1,10,Thursday
TXN_45926,38.1,Online,80339.18,Tablet,Mumbai,Restaurants,0,4,376.23,0,Visa,209,2141.19,Password,0.7429,0,0,7,Thursday
TXN_43824,69.78,POS,84572.25,Laptop,New York,Restaurants,0,5,278.72,1,Visa,143,3623.95,OTP,0.9892,1,1,2,Saturday
TXN_17240,29.6,ATM Withdrawal,91272.39,Mobile,London,Groceries,1,5,423.67,3,Amex,132,3869.54,Biometric,0.4975,0,0,17,Saturday
TXN_4892,231.0,POS,50228.86,Tablet,London,Restaurants,0,11,261.18,2,Mastercard,11,736.9,Biometric,0.8829,0,1,10,Friday
TXN_725,24.48,POS,89578.63,Mobile,Mumbai,Electronics,0,10,380.6,2,Mastercard,223,2541.13,Biometric,0.319,0,0,12,Wednesday
TXN_22949,237.11,POS,38531.58,Mobile,Sydney,Electronics,0,5,397.31,2,Discover,8,7.01,PIN,0.7501,1,0,9,Sunday
TXN_34657,306.6,POS,66429.56,Laptop,Mumbai,Groceries,0,13,130.04,0,Discover,108,1700.82,Biometric,0.4144,1,0,20,Tuesday
TXN_37213,29.72,POS,88648.99,Laptop,London,Groceries,0,3,54.98,2,Mastercard,55,2254.22,OTP,0.4566,0,0,10,Friday
TXN_20304,124.88,Online,72517.85,Tablet,Sydney,Electronics,0,4,459.11,1,Mastercard,93,1379.33,Password,0.6091,0,0,8,Friday
TXN_15269,27.92,Bank Transfer,77140.55,Mobile,Tokyo,Clothing,0,3,464.6,0,Discover,105,3061.09,Password,0.1976,0,0,2,Tuesday
TXN_22367,34.39,Online,44749.59,Mobile,London,Groceries,0,10,342.54,3,Amex,182,3093.97,OTP,0.673,0,0,6,Sunday
TXN_42684,95.05,Bank Transfer,83198.66,Mobile,London,Restaurants,0,10,37.39,1,Amex,151,1498.03,Password,0.3344,0,0,22,Tuesday
TXN_46734,31.7,Online,82964.35,Laptop,Sydney,Clothing,0,11,338.59,2,Visa,103,4265.72,PIN,0.0055,0,0,13,Saturday
TXN_11732,191.97,Online,67585.77,Tablet,Mumbai,Clothing,0,13,302.64,3,Mastercard,41,4856.51,PIN,0.0958,0,0,11,Sunday
TXN_18619,44.07,Bank Transfer,11918.09,Mobile,Mumbai,Groceries,0,11,376.21,3,Visa,231,13.98,Password,0.3889,0,0,19,Thursday
TXN_48492,25.38,ATM Withdrawal,48704.75,Tablet,Sydney,Clothing,0,7,115.09,3,Mastercard,168,3408.27,PIN,0.3222,0,0,6,Sunday
TXN_26803,394.62,ATM Withdrawal,71321.68,Mobile,Sydney,Restaurants,0,7,316.12,0,Discover,68,2684.63,Password,0.6492,0,0,1,Sunday
TXN_44305,63.37,POS,47665.1,Mobile,London,Groceries,0,4,109.07,2,Discover,20,3572.45,Password,0.2708,0,0,12,Sunday
TXN_47522,16.97,POS,52165.88,Mobile,New York,Electronics,0,10,319.69,0,Visa,103,4184.27,Biometric,0.7169,0,0,11,Saturday
TXN_32207,363.86,POS,90037.97,Laptop,London,Electronics,1,10,24.57,2,Discover,140,4614.29,Password,0.2718,1,0,3,Thursday
TXN_2530,106.2,Bank Transfer,31890.74,Laptop,London,Electronics,0,6,418.15,3,Visa,94,1352.51,Password,0.2693,0,0,5,Friday
TXN_17746,70.42,Bank Transfer,21248.8,Laptop,Mumbai,Travel,0,1,377.0,1,Discover,15,1571.39,Biometric,0.8499,0,0,4,Monday
TXN_8270,21.33,ATM Withdrawal,96219.67,Tablet,New York,Clothing,0,2,159.98,0,Discover,77,1837.58,Biometric,0.1647,1,0,1,Saturday
TXN_15079,64.23,Bank Transfer,67088.03,Laptop,Sydney,Clothing,0,14,324.54,0,Mastercard,38,3717.63,PIN,0.1274,0,0,19,Wednesday
TXN_13624,298.9,POS,55658.79,Tablet,Sydney,Travel,0,14,60.8,1,Mastercard,42,2015.46,OTP,0.9441,0,1,5,Wednesday
TXN_30638,173.68,POS,50940.03,Mobile,London,Groceries,0,10,282.28,4,Discover,71,146.07,Biometric,0.7388,0,1,10,Saturday
TXN_30440,126.92,Online,85516.43,Tablet,Tokyo,Travel,0,12,373.92,4,Discover,201,4787.71,PIN,0.3925,0,1,6,Friday
TXN_36056,40.64,ATM Withdrawal,76016.81,Mobile,London,Electronics,0,5,359.54,1,Amex,128,620.67,PIN,0.6901,0,0,14,Sunday
TXN_42651,12.87,Online,51260.5,Tablet,New York,Clothing,0,1,230.41,2,Discover,235,1729.86,Password,0.4653,1,0,4,Saturday
TXN_36803,3.1,Bank Transfer,76141.76,Mobile,New York,Travel,0,10,204.59,4,Visa,67,2958.68,PIN,0.7693,0,1,12,Thursday
TXN_48224,31.27,Online,6814.33,Tablet,New York,Clothing,0,5,449.24,2,Amex,122,8.34,Password,0.737,1,0,21,Sunday
TXN_29226,77.02,ATM Withdrawal,35240.55,Tablet,Mumbai,Travel,0,10,232.91,0,Discover,194,3686.61,OTP,0.4556,0,0,4,Tuesday
TXN_5633,9.21,Bank Transfer,29122.14,Mobile,Sydney,Restaurants,0,3,58.34,2,Visa,167,307.19,OTP,0.4958,0,0,1,Sunday
TXN_5987,24.95,POS,40716.69,Laptop,London,Clothing,0,1,57.26,1,Mastercard,70,1674.43,OTP,0.3064,1,0,7,Tuesday
TXN_48063,48.03,Bank Transfer,64769.27,Laptop,Mumbai,Clothing,0,5,495.11,1,Mastercard,12,417.64,Password,0.1824,0,0,7,Saturday
TXN_1812,31.32,ATM Withdrawal,11082.48,Tablet,London,Travel,0,11,68.46,3,Visa,31,2672.02,PIN,0.491,1,0,23,Wednesday
TXN_27578,60.8,Online,48076.05,Mobile,Mumbai,Restaurants,0,1,130.51,1,Mastercard,74,1388.4,Password,0.3993,1,0,8,Thursday
TXN_16823,98.82,Bank Transfer,20800.69,Tablet,New York,Restaurants,0,10,440.03,0,Discover,151,743.79,Password,0.1682,0,0,14,Saturday
TXN_3928,32.32,POS,35239.44,Tablet,London,Groceries,0,12,260.55,1,Amex,93,2716.25,OTP,0.69,0,0,22,Monday
TXN_37286,174.45,POS,73618.23,Mobile,Sydney,Clothing,0,9,386.62,3,Amex,207,4996.91,OTP,0.4651,1,0,16,Monday
TXN_25045,109.35,POS,42365.28,Mobile,London,Restaurants,0,4,355.47,1,Discover,103,3099.26,Biometric,0.389,0,0,15,Tuesday
TXN_15727,22.51,ATM Withdrawal,1651.62,Tablet,London,Restaurants,0,2,470.64,0,Amex,23,205.3,Biometric,0.4306,1,0,15,Friday
TXN_29600,35.93,ATM Withdrawal,83856.0,Laptop,Tokyo,Electronics,1,7,233.36,2,Amex,167,1550.67,PIN,0.6015,0,0,22,Wednesday
TXN_10430,282.59,Bank Transfer,62888.38,Tablet,New York,Electronics,1,2,105.64,0,Discover,104,1603.64,Password,0.8951,0,1,16,Monday
TXN_25768,263.8,ATM Withdrawal,94812.91,Tablet,Tokyo,Clothing,0,3,476.31,2,Visa,139,1300.58,OTP,0.8601,0,1,3,Tuesday
TXN_29103,58.79,POS,81359.53,Mobile,London,Groceries,0,8,373.39,0,Discover,91,2367.83,PIN,0.2124,1,0,22,Wednesday
TXN_36537,124.74,Bank Transfer,61520.85,Tablet,Mumbai,Travel,0,13,293.03,1,Mastercard,196,2379.56,Password,0.4269,0,0,14,Sunday
TXN_39328,48.92,POS,13124.53,Tablet,Sydney,Restaurants,0,1,131.59,1,Mastercard,79,2898.69,Biometric,0.9879,1,1,5,Thursday
TXN_35539,4.97,ATM Withdrawal,19504.57,Tablet,Mumbai,Clothing,0,8,394.36,3,Mastercard,205,3639.03,Password,0.3491,0,0,21,Monday
TXN_28075,50.4,Bank Transfer,70996.25,Mobile,London,Electronics,0,14,84.89,1,Amex,74,1043.77,Password,0.5126,0,0,8,Monday
TXN_17840,180.62,ATM Withdrawal,53345.96,Tablet,Sydney,Travel,0,4,47.79,2,Discover,90,3326.17,Password,0.6589,0,0,8,Wednesday
TXN_27802,140.6,ATM Withdrawal,13935.49,Tablet,Sydney,Clothing,0,9,227.36,1,Mastercard,200,2864.87,PIN,0.7153,0,0,17,Tuesday
TXN_7682,231.35,ATM Withdrawal,92933.91,Laptop,Tokyo,Groceries,0,8,478.76,1,Visa,34,2273.51,Password,0.1123,1,0,11,Monday
TXN_24279,212.22,POS,6753.07,Mobile,Sydney,Travel,0,4,107.26,4,Discover,179,1046.9,Biometric,0.4688,0,1,20,Wednesday
TXN_33070,147.84,POS,46527.47,Tablet,Sydney,Travel,0,1,131.17,3,Visa,148,4908.34,PIN,0.6642,0,0,16,Wednesday
TXN_35557,158.85,Bank Transfer,11813.99,Tablet,New York,Travel,0,14,465.49,1,Amex,79,2653.12,Password,0.3265,0,0,12,Sunday
TXN_37189,4.43,Bank Transfer,18905.83,Laptop,New York,Restaurants,0,9,292.94,3,Mastercard,18,2594.13,Password,0.4432,1,0,8,Saturday
TXN_47149,85.45,ATM Withdrawal,41767.46,Mobile,Sydney,Groceries,0,14,228.01,0,Mastercard,92,4570.28,OTP,0.3784,0,0,10,Saturday
TXN_46915,99.32,Online,29329.35,Tablet,London,Clothing,0,10,34.74,4,Visa,167,3368.55,Biometric,0.1655,1,1,3,Thursday
TXN_9801,87.29,Bank Transfer,82933.42,Tablet,Sydney,Travel,1,2,270.04,0,Amex,115,4233.75,OTP,0.1413,1,0,23,Wednesday
TXN_38800,229.0,Online,20413.24,Tablet,Sydney,Restaurants,0,5,492.31,2,Visa,107,4659.45,Biometric,0.3067,0,0,16,Tuesday
TXN_24669,22.4,POS,87085.89,Laptop,Tokyo,Electronics,0,9,258.53,1,Mastercard,78,3264.92,PIN,0.1453,1,0,0,Monday
TXN_44233,263.59,Online,98730.52,Laptop,New York,Groceries,1,4,79.03,1,Mastercard,157,4134.17,Biometric,0.3619,0,0,22,Monday
TXN_31919,425.97,POS,14127.88,Mobile,London,Clothing,0,4,136.02,3,Mastercard,157,4657.46,Password,0.314,1,0,17,Thursday
TXN_7134,119.44,ATM Withdrawal,18698.54,Tablet,New York,Clothing,0,2,21.14,0,Discover,105,4487.33,OTP,0.6425,0,0,17,Saturday
TXN_33704,18.41,POS,48723.59,Tablet,Sydney,Electronics,0,2,51.4,3,Mastercard,82,1931.13,PIN,0.8117,0,0,19,Tuesday
TXN_29660,8.74,Bank Transfer,1686.45,Laptop,New York,Electronics,0,10,375.95,1,Discover,13,3286.0,Password,0.6706,0,0,5,Saturday
TXN_17893,513.78,POS,63548.64,Laptop,Mumbai,Travel,0,6,327.31,0,Amex,201,2720.75,PIN,0.6938,0,0,21,Saturday
TXN_22018,57.85,ATM Withdrawal,28459.14,Laptop,New York,Electronics,0,13,71.66,4,Amex,81,3003.21,PIN,0.9129,0,1,15,Monday
TXN_13538,27.64,Online,12521.24,Mobile,Tokyo,Restaurants,0,6,127.39,4,Discover,16,4150.25,OTP,0.76,0,1,21,Saturday
TXN_43118,64.61,Bank Transfer,94289.85,Mobile,New York,Clothing,0,11,332.4,3,Amex,139,366.13,OTP,0.6274,0,0,22,Thursday
TXN_36420,106.84,POS,55417.27,Laptop,Sydney,Groceries,0,13,277.96,0,Discover,65,17.13,Biometric,0.3657,0,0,3,Monday
TXN_9405,80.2,Online,82626.55,Tablet,Sydney,Travel,0,5,151.98,0,Mastercard,159,178.6,PIN,0.0462,1,0,11,Sunday
TXN_13413,11.91,ATM Withdrawal,75447.75,Mobile,Mumbai,Travel,0,7,86.6,1,Visa,69,961.72,OTP,0.2151,0,0,19,Wednesday
TXN_6720,202.75,ATM Withdrawal,58180.36,Tablet,London,Travel,0,8,77.57,0,Discover,6,1798.14,PIN,0.1632,1,0,6,Monday
TXN_15601,45.05,ATM Withdrawal,7142.75,Mobile,Sydney,Groceries,0,6,177.07,0,Mastercard,32,4623.41,OTP,0.8534,1,1,22,Monday
TXN_44743,68.08,ATM Withdrawal,11823.74,Mobile,Sydney,Electronics,0,14,124.97,2,Visa,116,4500.89,PIN,0.3606,1,0,7,Thursday
TXN_31138,38.38,Online,33764.14,Tablet,New York,Restaurants,0,3,111.29,4,Discover,109,249.27,Password,0.6095,0,1,5,Thursday
TXN_2729,45.14,Bank Transfer,90226.22,Laptop,Mumbai,Groceries,0,6,15.74,1,Visa,62,150.73,Password,0.0042,0,0,2,Thursday
TXN_38242,40.68,ATM Withdrawal,73513.35,Laptop,London,Clothing,0,3,27.19,1,Discover,40,768.22,Biometric,0.8577,0,1,11,Tuesday
TXN_29625,28.93,ATM Withdrawal,21457.06,Laptop,Mumbai,Travel,0,4,356.78,0,Amex,124,293.67,Password,0.5639,0,0,22,Saturday
TXN_47894,211.35,POS,83061.48,Mobile,London,Travel,0,3,209.73,4,Mastercard,234,4917.78,OTP,0.4945,1,1,7,Monday
TXN_42090,221.65,ATM Withdrawal,4113.54,Tablet,Mumbai,Groceries,0,1,380.62,0,Mastercard,153,4158.29,Biometric,0.8891,0,1,3,Friday
TXN_36399,203.14,Bank Transfer,55114.35,Laptop,Sydney,Electronics,0,14,29.4,4,Amex,121,3874.84,OTP,0.7617,0,1,20,Thursday
TXN_6244,77.56,ATM Withdrawal,35091.4,Laptop,Mumbai,Electronics,0,3,126.65,2,Discover,84,1895.75,PIN,0.7788,1,0,19,Friday
TXN_5545,43.67,ATM Withdrawal,871.39,Tablet,Mumbai,Groceries,0,8,281.45,0,Amex,64,321.41,Password,0.1535,0,0,11,Wednesday
TXN_4064,35.48,ATM Withdrawal,96433.2,Mobile,Sydney,Travel,0,10,274.94,4,Amex,223,1801.72,OTP,0.9509,0,1,3,Sunday
TXN_12851,69.42,ATM Withdrawal,55756.5,Mobile,London,Clothing,0,2,67.54,3,Amex,38,1047.08,PIN,0.499,0,0,19,Monday
TXN_21802,105.88,Bank Transfer,12611.33,Tablet,New York,Electronics,0,12,155.72,1,Discover,207,242.67,Password,0.5794,0,0,14,Wednesday
TXN_41163,97.23,Online,50077.22,Tablet,Mumbai,Clothing,0,4,206.5,3,Visa,103,1523.59,PIN,0.6551,0,0,2,Friday
TXN_6232,309.46,POS,1754.34,Laptop,London,Electronics,0,2,452.58,1,Visa,139,2165.65,Biometric,0.2389,0,0,11,Sunday
TXN_3862,86.97,Online,3919.19,Laptop,New York,Restaurants,1,10,236.75,4,Mastercard,8,2567.75,OTP,0.1571,0,1,18,Sunday
TXN_35094,110.75,POS,67075.63,Mobile,New York,Clothing,0,4,484.92,3,Amex,89,2290.86,Password,0.1995,0,0,13,Thursday
TXN_40195,209.18,Online,15932.19,Mobile,New York,Groceries,0,14,10.28,0,Mastercard,105,1895.21,Biometric,0.8742,0,1,7,Saturday
TXN_39250,184.5,Bank Transfer,34642.47,Mobile,Sydney,Travel,0,13,10.0,4,Mastercard,91,2730.28,OTP,0.4426,0,1,3,Saturday
TXN_6217,17.04,Online,41936.84,Tablet,Sydney,Electronics,0,6,403.46,3,Discover,34,4423.09,OTP,0.4467,0,0,13,Wednesday
TXN_36775,12.13,Bank Transfer,86906.22,Laptop,London,Clothing,0,4,347.35,1,Discover,73,4849.83,Biometric,0.6382,0,0,12,Tuesday
TXN_42976,260.47,Online,93531.71,Tablet,Sydney,Electronics,0,8,287.19,1,Mastercard,63,4578.71,OTP,0.978,1,1,23,Thursday
TXN_48467,68.1,POS,58137.59,Laptop,Tokyo,Clothing,0,3,441.96,3,Amex,20,3548.05,OTP,0.6328,1,0,16,Thursday
TXN_14831,170.02,POS,91895.42,Tablet,London,Restaurants,0,2,321.48,3,Mastercard,98,3879.07,Biometric,0.6698,0,0,0,Thursday
TXN_30092,182.66,Bank Transfer,54959.93,Mobile,Mumbai,Electronics,0,5,351.34,0,Visa,126,3278.32,PIN,0.3398,0,0,20,Monday
TXN_8893,92.96,Online,49229.92,Tablet,Mumbai,Electronics,0,4,494.79,4,Discover,116,2829.23,PIN,0.2061,0,1,8,Saturday
TXN_6020,144.37,POS,35724.0,Laptop,Mumbai,Groceries,0,8,155.47,1,Mastercard,200,2908.48,Password,0.8291,0,0,6,Monday
TXN_46088,3.54,ATM Withdrawal,30122.65,Mobile,Sydney,Restaurants,0,7,158.73,2,Amex,4,4814.01,OTP,0.7642,0,0,8,Friday
TXN_15242,13.26,Online,61487.58,Mobile,London,Groceries,0,9,409.11,4,Amex,15,1674.17,PIN,0.9841,0,1,4,Wednesday
TXN_45307,17.99,Bank Transfer,96549.63,Mobile,London,Clothing,0,11,424.95,0,Amex,139,2490.71,PIN,0.3667,0,0,0,Wednesday
TXN_26550,153.67,POS,49487.07,Mobile,Sydney,Clothing,0,13,70.46,3,Visa,150,4957.63,OTP,0.7741,0,0,21,Sunday
TXN_6034,70.71,POS,32856.05,Tablet,Sydney,Electronics,0,11,315.57,3,Amex,2,212.36,OTP,0.1951,0,0,11,Tuesday
TXN_7905,3.37,POS,36893.16,Laptop,Sydney,Restaurants,0,1,462.86,4,Mastercard,116,558.31,PIN,0.1696,0,1,2,Wednesday
TXN_32225,157.68,Online,10182.62,Tablet,London,Electronics,0,9,106.06,2,Amex,229,2230.31,Biometric,0.9827,1,1,17,Friday
TXN_6017,82.06,POS,7950.28,Mobile,New York,Groceries,1,1,193.5,0,Amex,52,302.33,PIN,0.9414,0,1,10,Saturday
TXN_21879,5.32,ATM Withdrawal,29798.65,Tablet,Mumbai,Clothing,0,6,326.03,4,Discover,10,745.05,Biometric,0.4979,1,1,6,Saturday
TXN_2791,119.95,POS,13855.65,Mobile,Mumbai,Electronics,1,12,129.11,0,Mastercard,91,2044.59,OTP,0.5708,1,0,23,Saturday
TXN_42605,117.28,Online,3767.23,Laptop,Sydney,Electronics,0,6,10.31,2,Amex,221,1890.99,Biometric,0.4682,0,0,2,Sunday
TXN_5823,181.73,Online,47292.37,Tablet,Mumbai,Travel,1,12,63.67,3,Amex,57,3586.61,Biometric,0.7188,1,0,18,Friday
TXN_15387,62.48,Bank Transfer,43449.02,Mobile,Mumbai,Travel,0,5,325.07,4,Mastercard,157,3964.15,OTP,0.0323,0,1,8,Wednesday
TXN_29561,40.59,Online,62096.26,Tablet,Mumbai,Restaurants,0,3,122.7,3,Amex,9,2330.48,OTP,0.215,0,0,8,Saturday
TXN_39475,112.39,Bank Transfer,70908.88,Tablet,Sydney,Groceries,0,2,413.55,0,Mastercard,82,3485.53,Password,0.4571,1,0,16,Tuesday
TXN_292,28.15,ATM Withdrawal,31016.2,Mobile,New York,Restaurants,0,12,254.87,0,Discover,23,801.05,OTP,0.091,0,0,21,Sunday
